id,collaborators
535628,"[137336, 115673]"
535546,[139517]
535448,[139248]
535341,"[165476, 104759]"
535255,"[132558, 54043]"
535175,[107602]
535145,"[139445, 139444]"
535041,"[140029, 139406]"
534990,"[16133, 1022]"
534929,[21516]
534793,[53944]
534784,[59192]
534581,[111642]
534474,"[139357, 139342]"
534459,"[138907, 140859]"
534328,"[140665, 140201, 139840, 139847, 139868, 139870, 139340, 139340, 139340, 139266, 139655, 139665, 139671, 139668, 139367, 139276]"
534319,[81321]
534159,[62984]
534037,"[135482, 135785]"
534003,[139196]
533958,[139397]
533846,[84088]
533772,[84088]
533683,"[139084, 139102]"
533654,[84088]
533625,[84088]
533213,"[12705, 18286]"
533155,[138993]
533099,[134796]
533025,[138982]
532833,"[49363, 50561]"
532763,[77570]
532734,[24108]
532358,[139011]
532312,[60463]
532264,[73285]
532214,"[139006, 138790, 104759]"
532027,"[135782, 135783]"
531986,[138886]
531698,"[17921, 7454, 18439, 1119]"
531675,"[9175, 18439, 1119, 7454, 17921]"
531471,[131901]
531412,[136957]
531387,[116031]
531284,[21594]
531269,"[12460, 53741]"
531206,[12129]
531166,[138559]
530886,[136004]
530885,[60463]
530859,[61125]
530769,[136902]
530740,[73621]
530693,[11033]
530452,[138396]
530442,"[138391, 138401, 138384]"
530416,"[138393, 138390]"
530403,"[139596, 138640, 138598]"
530306,[51207]
530304,"[138146, 138145]"
530149,[2484]
530047,[138187]
529923,[8565]
529653,"[74554, 130133]"
529650,[137192]
529593,[148263]
529579,[16]
529555,[3697]
529552,[121768]
529550,"[131934, 6001]"
529534,[124361]
529524,[140231]
529510,"[80428, 138169, 61774]"
529500,"[138162, 83884]"
529484,[138157]
529447,[137385]
529445,"[138900, 138898, 138227]"
529423,[138870]
529017,"[68799, 69700]"
528731,[74990]
528602,"[120991, 137947]"
528503,[103990]
528458,"[126635, 121342]"
528406,"[137910, 133453, 137909]"
528293,[74939]
528286,[137891]
528264,[75491]
528260,[137889]
528123,[21516]
528005,[26101]
527751,[121333]
527741,"[137764, 137762]"
527677,[24203]
527653,"[20629, 137746, 20630]"
527601,[61551]
527573,[82374]
527496,"[137717, 129595, 124433]"
527455,[2484]
527430,[137688]
527265,[137640]
527245,[124999]
527212,[16]
526912,[86487]
526879,[55006]
526785,[125933]
526618,[138380]
526543,[13935]
526182,[23425]
526078,[139699]
526045,"[137568, 16]"
525995,[141909]
525974,"[105551, 1696, 138027]"
525887,[137370]
525826,[58212]
525724,[136525]
525590,[137304]
525491,"[137521, 136525]"
525418,"[137336, 137335, 137334]"
525296,"[6915, 71437]"
525208,[12341]
525143,[143216]
525078,[116576]
525005,[10850]
524810,"[137128, 137127, 137126]"
524689,"[54495, 137102]"
524643,[59192]
524553,"[135786, 135782]"
524513,"[20676, 137048]"
524354,[136989]
524306,"[137653, 24437]"
524129,"[134857, 135077]"
523958,[103184]
523890,"[137600, 139741]"
523880,"[14236, 15430, 136916]"
523839,[92001]
523736,"[138665, 137323, 136882, 136879]"
523646,"[69018, 140739, 139358, 136091]"
523548,[136091]
523196,"[140425, 144224, 144220]"
523195,[131670]
523160,[103190]
523151,[136869]
523083,[139489]
523035,[104174]
522960,[125126]
522858,[139489]
522843,"[136707, 118614]"
522829,[22564]
522752,[136696]
522668,[63979]
522641,[136757]
